Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2008/9/23,-1.5,-3.599999,-18.819946,-23.159912,-165.670899,-36.550293,-20.530274,-68.799805,-224.169921,0,120.849998
2008/9/24,0.050004,-1.5,-0.920044,4.709961,-22.849609,-48,-13.709961,31.899902,48.90039,-106.270508,119.349998
2008/9/25,-0.57,0.050004,16.599976,-28.199951,191.870117,52.240234,60.52002,-16,-93.630859,100.629883,119.400002
2008/9/26,0.309997,-0.57,4.599975,3.099853,120.580078,-4.070312,-108.029785,-33.399902,-167.339844,-143.089844,118.830002
2008/9/29,-5.629997,0.309997,-95.289917,-113.469971,-768.040039,-310.099854,-281.800293,-177.799805,-1843.919922,-317.549805,119.139999
2008/9/30,1.759995,-5.629997,50.390015,41.410157,475.820313,220.649903,136.780273,-94.800293,0,-169.089843,113.510002
2008/10/1,-0.32,1.759995,-3.530029,-22.590088,-21.860352,-8.129883,-70.97998,153.300293,0,26.519531,115.269997
2008/10/2,-2.089996,-0.32,-45.479981,-46.589966,-341.580078,-86.110108,-111.77002,-79.90039,-81.439454,-371.030274,114.949997
2008/10/3,-5.709999,-2.089996,-17.599975,-107.290039,-161.44043,-90.010009,-76.260254,-38,-632.779296,-234.830078,112.860001
2008/10/6,-0.310006,-5.709999,-39.960083,-30.660034,-367.099609,-59.399903,-155.689941,-185.899903,0,-488.729492,107.150002
2008/10/7,-9.319999,-0.310006,-68.690003,-157.01001,-518.189453,-266.639892,-213.27002,37.100098,0,-316.900391,106.839996
2008/10/8,2.140007,-9.319999,-0.48999,55.290039,-175.540039,6.659912,-182.209961,-176.899902,-557.120117,-843.479492,97.519997
2008/10/9,-12.900002,2.140007,-86.109985,-175.47998,-693.020508,-402.840088,-460.370117,-122.200196,-833.340821,-151.820312,99.660004
2008/10/10,7.110001,-12.900002,10.440002,143.829956,-106.25,214.610107,47.490235,-284.099853,438.640625,0,86.760002
2008/10/13,10.829994,7.110001,97.219971,160.270019,926.549805,300.989991,493.120117,236.599853,1984.890625,0,93.870003
2008/10/14,-7.239998,10.829994,-15.369995,-140.25,-87.059571,-64.050049,52.25,104.200196,-531.960937,982.55957,104.699997
2008/10/15,-6.169998,-7.239998,-85.069947,-110.069946,-724.870117,-401.26001,-511.490235,-100,-1706.75,10.349609,97.459999
2008/10/16,0.699997,-6.169998,32.759949,34.22998,398.30957,134.179932,82.080078,-195.600098,179.120117,-821.279296,91.290001
2008/10/17,3.36,0.699997,1.220032,56.349976,-123.049804,64.440185,133.779786,-46.899902,-389.55957,195.669921,91.989998
2008/10/20,1.620003,3.36,36.890014,6.709961,410.5,122.969971,-8.959961,171,925.05957,364.019532,95.349998
2008/10/21,-3.770004,1.620003,-28.730041,-70.609986,-234.959961,-156.790039,-143.059571,88.199707,-738.75,58.879882,96.970001
2008/10/22,-2.909996,-3.770004,-52.589966,-50.119995,-508.070313,-68.889893,-180.030273,-162.199707,-1281.900391,-650.349609,93.199997
2008/10/23,-6.230003,-2.909996,-3.860046,-127.319946,163.44043,-159.060058,-196.919922,-124.700196,-117.679687,-156.75,90.290001
2008/10/24,1.910003,-6.230003,-20.939942,34.329956,-307.290039,-116.689942,-219.339844,-101.199951,-1105.879883,-822.680176,84.059998
2008/10/27,1.369995,1.910003,-25.360046,24.119995,-197.199707,124.129883,171.459961,-74.099853,-1218.179687,-425.020019,85.970001
2008/10/28,6.430001,1.369995,90.590027,91.73999,883.609863,137.649902,145.34961,32.199951,1652.779296,598.180176,87.339996
2008/10/29,2.010002,6.430001,-0.130005,54.450074,-57.669922,192.200196,433.880371,33.399902,473.090821,528.189941,93.769997
2008/10/30,-0.699997,2.010002,13.72998,-13.720093,174.429688,-100.560059,-38.120117,124,756.929687,688.509766,95.779999
2008/10/31,1.699997,-0.699997,15.559998,34.180054,146.950195,124.330078,197.919921,52.300049,398.660156,0,95.080002
2008/11/3,2.279999,1.699997,2.640015,42.199951,-2.150391,31.979981,-35.109863,150.600098,-98.410156,0,96.779999
